Area..sq.km.,Area_ha_mean,Area_ha_median,Area_ha_stddev
196.5017,1.927803,1.203682,1.735242
178.9655,1.927803,1.203682,1.735242
109.3843,1.927803,1.203682,1.735242
40.3979,1.927803,1.203682,1.735242
32.5419,1.927803,1.203682,1.735242
704.1694,1.927803,1.203682,1.735242
196.5017,1.927803,1.203682,1.735242
178.9655,1.927803,1.203682,1.735242
,4.943904,1.407348,20.471049
109.3843,3.311011,1.188704,9.117545
40.3979,3.311011,1.188704,9.117545
32.5419,3.311011,1.188704,9.117545
704.1694,3.311011,1.188704,9.117545
196.5017,3.311011,1.188704,9.117545
178.9655,3.311011,1.188704,9.117545
109.3843,3.311011,1.188704,9.117545
40.3979,3.311011,1.188704,9.117545
32.5419,3.311011,1.188704,9.117545
704.1694,3.311011,1.188704,9.117545
196.5017,3.311011,1.188704,9.117545
178.9655,3.311011,1.188704,9.117545
308.6267,3.182799,1.094498,10.811478
308.6267,3.182799,1.094498,10.811478
308.6267,3.182799,1.094498,10.811478
82.8331,3.561013,1.506856,7.666011
82.8331,3.561013,1.506856,7.666011
40.3944,1.480783,0.903514,1.386573
40.3944,1.480783,0.903514,1.386573
40.3944,1.480783,0.903514,1.386573
49.8808,4.921577,1.476152,11.308004
49.8808,4.921577,1.476152,11.308004
379.62,3.517778,1.4068,9.155222
379.62,3.517778,1.4068,9.155222
379.62,3.517778,1.4068,9.155222
2225.8859,4.141035,1.434902,19.115177
1166.3577,2.786704,1.136307,5.934646
1166.3577,2.786704,1.136307,5.934646
920.0177,2.938641,1.175345,7.102951
920.0177,2.938641,1.175345,7.102951
920.0177,2.938641,1.175345,7.102951
3197.2758,3.285541,1.251276,10.892182
3197.2758,3.285541,1.251276,10.892182
3545.428,3.580175,1.287646,8.928902
16.3177,3.580175,1.287646,8.928902
3545.428,3.580175,1.287646,8.928902
16.3177,3.580175,1.287646,8.928902
3545.428,3.580175,1.287646,8.928902
16.3177,3.580175,1.287646,8.928902
,1.222164,0.84093,0.984524
3255.338,3.676129,1.30125,13.057534
3255.338,3.676129,1.30125,13.057534
476.4082,3.635914,1.241969,8.802517
715.6657,3.524888,1.309337,8.113534
715.6657,3.524888,1.309337,8.113534
715.6657,3.524888,1.309337,8.113534
715.6657,3.524888,1.309337,8.113534
5019.8289,6.351982,1.414837,33.136739
5019.8289,6.351982,1.414837,33.136739
162.0701,2.652675,1.21308,6.018773
162.0701,2.652675,1.21308,6.018773
162.0701,2.652675,1.21308,6.018773
162.0701,2.652675,1.21308,6.018773
162.0701,2.652675,1.21308,6.018773
162.0701,2.652675,1.21308,6.018773
162.0701,2.652675,1.21308,6.018773
162.0701,2.652675,1.21308,6.018773
2490.9569,3.860017,1.363595,11.308612
2490.9569,3.860017,1.363595,11.308612
2490.9569,3.860017,1.363595,11.308612
2490.9569,3.860017,1.363595,11.308612
2490.9569,3.860017,1.363595,11.308612
2490.9569,3.860017,1.363595,11.308612
,3.969723,1.156718,10.962455
,3.969723,1.156718,10.962455
,3.969723,1.156718,10.962455
,3.969723,1.156718,10.962455
,3.331736,1.0756,12.153652
,3.331736,1.0756,12.153652
,3.331736,1.0756,12.153652
,3.331736,1.0756,12.153652
,2.661249,1.128132,5.976595
,2.661249,1.128132,5.976595
,2.661249,1.128132,5.976595
,2.661249,1.128132,5.976595
,2.661249,1.128132,5.976595
,2.522885,1.157393,4.94133
,2.522885,1.157393,4.94133
,2.522885,1.157393,4.94133
,2.522885,1.157393,4.94133
,2.522885,1.157393,4.94133
,2.593806,1.019643,5.498207
,2.593806,1.019643,5.498207
,2.593806,1.019643,5.498207
,4.108973,1.298726,12.624088
,4.108973,1.298726,12.624088
,4.108973,1.298726,12.624088
,4.098836,1.158519,10.162043
,4.098836,1.158519,10.162043
,4.098836,1.158519,10.162043
,4.098836,1.158519,10.162043
,4.098836,1.158519,10.162043
,4.098836,1.158519,10.162043
,4.226183,1.199021,8.473228
,4.226183,1.199021,8.473228
,2.517831,1.164073,4.99499
,2.517831,1.164073,4.99499
,2.517831,1.164073,4.99499
,3.249018,1.351018,7.038143
,3.249018,1.351018,7.038143
79.0839,2.843229,1.270431,6.174754
,2.749336,1.072371,6.166416
,2.522761,1.214324,4.407605
,2.614448,1.050885,4.803273
,2.899334,1.250305,6.101742
,2.899334,1.250305,6.101742
,2.899334,1.250305,6.101742
,4.373793,1.416285,11.193752
,4.373793,1.416285,11.193752
,4.373793,1.416285,11.193752
,4.163567,1.390055,9.65581
,4.163567,1.390055,9.65581
,4.193028,1.325534,10.483077
,4.193028,1.325534,10.483077
,4.193028,1.325534,10.483077
,5.098638,1.513717,12.422349
,5.098638,1.513717,12.422349
,5.098638,1.513717,12.422349
,5.098638,1.513717,12.422349
,5.098638,1.513717,12.422349
,5.098638,1.513717,12.422349
,5.098638,1.513717,12.422349
,5.098638,1.513717,12.422349
,2.596579,1.204778,4.704076
,2.596579,1.204778,4.704076
,2.596579,1.204778,4.704076
,2.596579,1.204778,4.704076
,2.596579,1.204778,4.704076
,2.070173,1.143377,3.301365
,2.070173,1.143377,3.301365
,1.707947,1.118395,2.261883
,1.707947,1.118395,2.261883
,3.044333,1.273739,7.793989
,3.044333,1.273739,7.793989
,3.044333,1.273739,7.793989
,3.044333,1.273739,7.793989
,3.044333,1.273739,7.793989
,2.828638,1.211476,11.256236
,2.828638,1.211476,11.256236
,2.828638,1.211476,11.256236
,2.828638,1.211476,11.256236
,2.828638,1.211476,11.256236
,2.828638,1.211476,11.256236
,2.828638,1.211476,11.256236
,2.828638,1.211476,11.256236
,2.828638,1.211476,11.256236
,2.828638,1.211476,11.256236
,2.828638,1.211476,11.256236
,2.828638,1.211476,11.256236
,2.828638,1.211476,11.256236
,2.828638,1.211476,11.256236
,2.828638,1.211476,11.256236
,2.828638,1.211476,11.256236
,2.828638,1.211476,11.256236
,2.2933,1.121044,3.471348
,2.2933,1.121044,3.471348
,2.2933,1.121044,3.471348
,2.2933,1.121044,3.471348
,2.888913,1.142611,6.27945
,2.888913,1.142611,6.27945
,2.888913,1.142611,6.27945
,2.888913,1.142611,6.27945
,2.236415,1.103007,4.124486
,2.236415,1.103007,4.124486
,2.236415,1.103007,4.124486
,2.236415,1.103007,4.124486
,2.403577,1.058597,3.867007
,2.403577,1.058597,3.867007
,2.895178,1.049361,12.63784
,2.895178,1.049361,12.63784
,2.895178,1.049361,12.63784
,2.895178,1.049361,12.63784
,2.895178,1.049361,12.63784
,2.895178,1.049361,12.63784
,1.713786,1.067696,1.866624
,1.713786,1.067696,1.866624
,1.713786,1.067696,1.866624
,3.13825,1.116385,7.341029
,3.13825,1.116385,7.341029
,3.13825,1.116385,7.341029
,3.13825,1.116385,7.341029
,3.13825,1.116385,7.341029
,3.13825,1.116385,7.341029
,3.13825,1.116385,7.341029
,3.13825,1.116385,7.341029
,3.13825,1.116385,7.341029
,3.13825,1.116385,7.341029
,3.13825,1.116385,7.341029
,3.13825,1.116385,7.341029
,3.13825,1.116385,7.341029
,3.304395,1.227675,6.810158
,3.304395,1.227675,6.810158
,3.304395,1.227675,6.810158
,3.304395,1.227675,6.810158
,3.304395,1.227675,6.810158
,3.072205,1.28093,6.001107
,3.072205,1.28093,6.001107
,3.072205,1.28093,6.001107
,3.072205,1.28093,6.001107
,3.072205,1.28093,6.001107
,3.072205,1.28093,6.001107
,3.072205,1.28093,6.001107
,2.958275,1.205599,6.355536
,2.958275,1.205599,6.355536
,2.958275,1.205599,6.355536
,2.958275,1.205599,6.355536
,2.958275,1.205599,6.355536
,2.958275,1.205599,6.355536
,2.958275,1.205599,6.355536
,2.958275,1.205599,6.355536
,2.958275,1.205599,6.355536
,2.958275,1.205599,6.355536
,2.872917,1.220323,5.46147
,4.006927,1.427344,8.879338
,0.880385,0.666614,0.40858
,1.736194,1.182876,1.833554
,1.736194,1.182876,1.833554
,1.736194,1.182876,1.833554
,1.736194,1.182876,1.833554
,1.736194,1.182876,1.833554
,1.736194,1.182876,1.833554
,2.620553,1.026797,6.243814
,2.620553,1.026797,6.243814
,2.620553,1.026797,6.243814
,2.620553,1.026797,6.243814
,2.620553,1.026797,6.243814
,2.620553,1.026797,6.243814
,4.991506,1.237512,12.187197
,4.991506,1.237512,12.187197
,4.991506,1.237512,12.187197
,1.913176,0.97307,3.064111
,1.913176,0.97307,3.064111
,1.913176,0.97307,3.064111
,1.913176,0.97307,3.064111
,1.913176,0.97307,3.064111
,1.913176,0.97307,3.064111
,1.913176,0.97307,3.064111
,4.439445,1.251597,10.304461
,4.439445,1.251597,10.304461
,4.439445,1.251597,10.304461
,4.439445,1.251597,10.304461
,4.439445,1.251597,10.304461
,3.837081,1.035135,12.782358
,5.352991,1.168364,14.656239
,5.352991,1.168364,14.656239
,5.352991,1.168364,14.656239
,5.352991,1.168364,14.656239
,5.352991,1.168364,14.656239
,5.352991,1.168364,14.656239
,1.831941,0.963835,2.821012
,1.831941,0.963835,2.821012
,1.831941,0.963835,2.821012
,3.204074,1.394898,6.98496
,3.204074,1.394898,6.98496
,3.204074,1.394898,6.98496
,3.204074,1.394898,6.98496
,3.204074,1.394898,6.98496
,3.204074,1.394898,6.98496
,3.204074,1.394898,6.98496
,3.743415,1.473674,9.13145
,3.743415,1.473674,9.13145
,3.743415,1.473674,9.13145
,2.641416,1.121292,3.39857
,2.641416,1.121292,3.39857
,2.641416,1.121292,3.39857
,1.772214,0.881811,2.066732
,1.772214,0.881811,2.066732
,1.772214,0.881811,2.066732
,1.772214,0.881811,2.066732
,1.772214,0.881811,2.066732
,1.772214,0.881811,2.066732
,1.772214,0.881811,2.066732
,3.886996,1.215511,11.742692
,3.886996,1.215511,11.742692
,3.886996,1.215511,11.742692
,3.488654,1.170316,8.411037
,3.488654,1.170316,8.411037
,3.488654,1.170316,8.411037
,3.488654,1.170316,8.411037
,3.488654,1.170316,8.411037
,3.488654,1.170316,8.411037
,3.217884,1.214104,9.595178
,3.217884,1.214104,9.595178
,3.217884,1.214104,9.595178
,3.217884,1.214104,9.595178
,3.81593,1.107282,14.695507
,3.81593,1.107282,14.695507
,3.81593,1.107282,14.695507
,3.81593,1.107282,14.695507
,3.81593,1.107282,14.695507
,3.81593,1.107282,14.695507
,3.81593,1.107282,14.695507
,2.700309,1.098612,3.942341
,2.700309,1.098612,3.942341
,2.700309,1.098612,3.942341
,2.700309,1.098612,3.942341
,1.816921,0.795939,3.827802
,1.816921,0.795939,3.827802
,1.816921,0.795939,3.827802
,1.816921,0.795939,3.827802
,2.335469,0.886618,5.08442
,8.211012,1.26507,39.369692
,8.211012,1.26507,39.369692
,8.211012,1.26507,39.369692
,2.12731,1.231251,2.579636
,2.12731,1.231251,2.579636
,2.12731,1.231251,2.579636
,2.12731,1.231251,2.579636
,2.12731,1.231251,2.579636
,2.12731,1.231251,2.579636
,3.029351,1.233494,7.267049
,3.029351,1.233494,7.267049
,3.029351,1.233494,7.267049
,3.029351,1.233494,7.267049
,6.072795,1.631848,31.725942
,6.072795,1.631848,31.725942
,6.072795,1.631848,31.725942
,6.072795,1.631848,31.725942
,1.486341,1.011702,1.261701
,1.486341,1.011702,1.261701
,1.486341,1.011702,1.261701
,1.486341,1.011702,1.261701
,1.486341,1.011702,1.261701
,1.486341,1.011702,1.261701
,6.253472,1.201602,18.404953
,6.253472,1.201602,18.404953
,6.253472,1.201602,18.404953
,6.253472,1.201602,18.404953
,6.253472,1.201602,18.404953
,4.152055,1.196737,9.080296
,4.152055,1.196737,9.080296
,4.152055,1.196737,9.080296
,4.152055,1.196737,9.080296
,3.390956,1.154698,5.835395
,3.390956,1.154698,5.835395
,3.390956,1.154698,5.835395
,3.390956,1.154698,5.835395
,3.390956,1.154698,5.835395
,2.989592,1.130416,5.433666
,2.989592,1.130416,5.433666
,2.989592,1.130416,5.433666
,2.989592,1.130416,5.433666
,2.989592,1.130416,5.433666
,2.618052,1.21521,3.777391
,2.618052,1.21521,3.777391
,2.618052,1.21521,3.777391
,2.618052,1.21521,3.777391
,2.618052,1.21521,3.777391
,2.618052,1.21521,3.777391
,8.800692,1.265705,29.549322
,8.800692,1.265705,29.549322
,8.800692,1.265705,29.549322
,7.225815,1.334304,33.034393
,7.225815,1.334304,33.034393
,7.225815,1.334304,33.034393
,7.225815,1.334304,33.034393
,7.225815,1.334304,33.034393
,7.225815,1.334304,33.034393
,7.225815,1.334304,33.034393
,3.633943,1.398191,5.191405
,3.633943,1.398191,5.191405
3046.2359,4.41938,1.362756,14.131693
1564.9491,4.41938,1.362756,14.131693
3046.2359,4.41938,1.362756,14.131693
1564.9491,4.41938,1.362756,14.131693
3046.2359,4.41938,1.362756,14.131693
1564.9491,4.41938,1.362756,14.131693
3046.2359,4.41938,1.362756,14.131693
1564.9491,4.41938,1.362756,14.131693
3046.2359,4.41938,1.362756,14.131693
1564.9491,4.41938,1.362756,14.131693
3046.2359,4.41938,1.362756,14.131693
1564.9491,4.41938,1.362756,14.131693
,2.696739,1.197277,6.680814
,2.696739,1.197277,6.680814
,2.696739,1.197277,6.680814
,2.696739,1.197277,6.680814
,2.696739,1.197277,6.680814
,2.696739,1.197277,6.680814
,2.696739,1.197277,6.680814
,4.867681,1.347082,21.719251
,4.867681,1.347082,21.719251
,4.867681,1.347082,21.719251
,3.571642,1.300117,8.85986
,3.571642,1.300117,8.85986
,3.571642,1.300117,8.85986
,3.571642,1.300117,8.85986
,3.571642,1.300117,8.85986
,3.571642,1.300117,8.85986
6563.8784,3.786278,1.354506,10.332445
6563.8784,3.786278,1.354506,10.332445
1708.6314,4.824684,1.403665,14.500305
1708.6314,4.824684,1.403665,14.500305
1708.6314,4.824684,1.403665,14.500305
1708.6314,4.824684,1.403665,14.500305
1708.6314,4.824684,1.403665,14.500305
1708.6314,4.824684,1.403665,14.500305
3458.4263,3.113832,1.184572,8.844526
,3.113832,1.184572,8.844526
3458.4263,3.113832,1.184572,8.844526
,3.113832,1.184572,8.844526
,3.113832,1.184572,8.844526
,3.113832,1.184572,8.844526
3458.4263,3.113832,1.184572,8.844526
3458.4263,3.113832,1.184572,8.844526
,3.113832,1.184572,8.844526
,3.113832,1.184572,8.844526
3458.4263,3.113832,1.184572,8.844526
3458.4263,3.113832,1.184572,8.844526
3458.4263,3.113832,1.184572,8.844526
,3.113832,1.184572,8.844526
3458.4263,3.113832,1.184572,8.844526
,3.113832,1.184572,8.844526
2652.5318,3.968261,1.317939,13.432174
2652.5318,3.968261,1.317939,13.432174
2652.5318,3.968261,1.317939,13.432174
2652.5318,3.968261,1.317939,13.432174
2652.5318,3.968261,1.317939,13.432174
2652.5318,3.968261,1.317939,13.432174
2652.5318,3.968261,1.317939,13.432174
,4.878484,1.459239,16.736822
,4.878484,1.459239,16.736822
,4.878484,1.459239,16.736822
,4.878484,1.459239,16.736822
3678.3495,4.878484,1.459239,16.736822
,4.878484,1.459239,16.736822
,4.878484,1.459239,16.736822
3678.3495,4.878484,1.459239,16.736822
,4.878484,1.459239,16.736822
,4.878484,1.459239,16.736822
3678.3495,4.878484,1.459239,16.736822
3678.3495,4.878484,1.459239,16.736822
1643.0651,3.538034,1.339326,10.463098
1643.0651,3.538034,1.339326,10.463098
1643.0651,3.538034,1.339326,10.463098
1643.0651,3.538034,1.339326,10.463098
1643.0651,3.538034,1.339326,10.463098
1643.0651,3.538034,1.339326,10.463098
1643.0651,3.538034,1.339326,10.463098
1643.0651,3.538034,1.339326,10.463098
1643.0651,3.538034,1.339326,10.463098
1643.0651,3.538034,1.339326,10.463098
1643.0651,3.538034,1.339326,10.463098
1643.0651,3.538034,1.339326,10.463098
1643.0651,3.538034,1.339326,10.463098
1643.0651,3.538034,1.339326,10.463098
1643.0651,3.538034,1.339326,10.463098
