"asc_A","asc_B","asc_C","mu_Tax","mu_Sound","mu_Smell","mu_Colour","mu_Deadwood","sig_Tax","sig_Sound","sig_Smell","sig_Colour","sig_Deadwood","mu_Sound2","mu_Smell2","mu_Colour2","mu_Deadwood2","sig_Sound2","sig_Smell2","sig_Colour2","sig_Deadwood2","beta_Gender","beta_Age","beta_Distance","beta_Charity","beta_Income","beta_Impairment","beta_Country","beta_White","beta_Urbanicity","beta_MostRecentVisit","beta_WoodlandsScore","logLike"
0,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-19947.3307435342
0,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-19947.3307435342
0,0,-0.000382988176173201,-3.00061356809566,-8.2786865256051e-06,-7.60472732775114e-06,-6.6014270605945e-06,-6.27337231862502e-06,-9.6372113476308e-07,-1.01445037445808e-08,-3.05249358337537e-08,3.24624376201699e-09,-2.23397951970088e-09,-7.98341958451113e-06,-7.16565439182032e-06,-6.86044415113542e-06,-1.09963772060105e-05,2.1974001371653e-08,-1.97033730137701e-08,1.00425501022941e-09,1.92503674855768e-08,-0.000193517242232494,-0.000189481707131626,-0.00322285840520448,-0.000144695494079112,-0.000216242906647931,-8.66657885780772e-05,-0.000370304186816612,-0.00031507052562575,-0.000284683911906145,-0.000908210676135525,-0.0207867886691038,-18117.4245982723
0,0,-0.00393361693450298,-3.05054568968807,-0.000460068181434508,-0.000240473527865368,-7.14788193867843e-05,-9.00748891436985e-05,-0.000104581651948249,-1.48065313371092e-06,-2.46663994707786e-06,6.3515303872229e-07,3.48505567340779e-07,-0.000338125150621482,-0.000219582492622843,-0.000201203710334698,-0.000912632684907239,2.01933038767078e-06,-1.48004352735612e-06,1.40590700556699e-06,1.873909855128e-06,-0.00207328112465437,-0.000616113978196593,-0.0378168473994885,-0.00591324304128538,-0.00423152435743797,-0.00303281256933833,-0.00431841112034132,-0.00370719534875058,-0.00222359868530114,-0.0269392391672896,-0.0142189948845185,-17912.3355708581
0,0,-0.0482616161787998,-3.77310109847021,-0.0069661085555091,-0.00350525001311732,-0.000908689280505394,-0.00121460235730089,-0.00191530571801669,-2.3632825466755e-05,-3.76537221492723e-05,8.65724165251536e-06,5.09689249860843e-06,-0.00508696185065788,-0.00322244433142455,-0.00294127972588353,-0.0140276198617987,3.07669159793638e-05,-2.33023349328204e-05,2.22210288037157e-05,2.86597805146751e-05,-0.0248121728461396,-0.00579142155768137,0.01619941266921,-0.0880061940423494,-0.058711434128027,-0.0442384745002011,-0.0583841143793384,-0.0503157775032645,-0.0242670169648438,-0.408923268616424,0.00221541120745674,-16644.9604292188
0,0,-0.0164245681236531,-4.13494433790119,-0.0101689991799405,-0.00362221325473906,-0.000334402850442784,-0.000724377386963752,-0.00719552820472537,-5.01929626658031e-05,-6.45615199313309e-05,1.50454512966104e-05,5.4217287482904e-06,-0.00837685071048416,-0.00465689732933997,-0.0038939138752353,-0.0229818647591935,5.89514243089434e-05,-5.39746025401962e-05,5.19176397091442e-05,4.79477634320444e-05,-0.00456666868275608,-0.0185817446309979,0.0275196716375046,-0.15452196562852,-0.0639360250266092,-0.0868804218564,-0.00329248609221221,-0.0387792548715292,0.00173574795589172,-0.0768585865724989,-0.00831689034192217,-16452.3722571804
0,0,0.117543044110129,-4.13896181279999,-0.0102654318886042,0.00430231354008752,0.00465501129003852,0.00451255099692512,-0.0417547244436796,-0.000134446143244207,-0.000125648767310617,2.15262583001711e-05,-4.74220493151467e-08,-0.0139935785392599,-0.00473131064070161,-0.0020057645256234,-0.0367748726196012,0.000133086871313359,-0.000140812915598692,0.00014183517372159,8.45370060339021e-05,0.0798726364451374,0.0291389107471319,0.0255791226354859,-0.492384767053836,-0.136596419572015,-0.256997159689603,0.119346134149016,-0.000919928191300705,0.139969793926364,-0.0838112031714201,-0.0127459724036119,-16417.8671230278
0,0,0.237699556015815,-4.11144607504965,-0.0100976618758803,0.0190032524673345,0.0138783284253043,0.0141799357399504,-0.196299615151673,-0.000282168277098679,-0.00024101235219072,3.08530439661343e-05,2.79440245278697e-06,-0.0239835701779208,-0.00470808108670386,0.00159818684614076,-0.0613109933280721,0.000269626858786343,-0.00029548545988399,0.000304764555782048,0.000158212576140409,0.0942849184113292,-0.0507331168155245,0.0301685848547923,-0.887931738833032,-0.291981887274335,-0.498347746283863,-0.07721763357631,-0.0765650891188267,0.174335869627141,-0.034664934844032,-0.00901750323214299,-16399.1278311466
0,0,0.511149168136154,-4.07585435122811,-0.00919922142815502,0.0539058916625386,0.036723242320438,0.0378032543844049,-0.976216906817741,-0.000613749330373178,-0.000504656949208263,4.00830630135767e-05,1.53719815932898e-05,-0.0454036834079967,-0.00321430867334114,0.0114491995750585,-0.117814760995729,0.000601797946419806,-0.000648750333472815,0.000682067458521385,0.000347013362015202,0.119347692257187,-0.210662574915659,0.0356509966534347,-1.49194387662199,-0.525054772375567,-0.891664155786134,-0.245509216407592,-0.194129348695522,0.162060973381266,0.0202308007398524,-0.00482818834879133,-15583.0492580847
0,0,0.511013296889916,-4.07581860986114,-0.00919682489161069,0.0539085496622369,0.0367265751120423,0.037806524943446,-0.976408153609881,-0.00061354874819403,-0.000504683188266043,4.02363873563349e-05,1.49917403086507e-05,-0.0454006881001833,-0.00321111368654764,0.0114524034067924,-0.117814782187046,0.000601849024812635,-0.000648520104462884,0.000681958702765509,0.000347055849979345,0.119279251915506,-0.210725283734984,0.0339480207831202,-1.49194239590857,-0.525112918236062,-0.891669417630846,-0.245596944029227,-0.194227437742261,0.161946312011202,0.0199248040870508,-0.0118077953220111,-15254.0941485207
