"asc_A","asc_B","asc_C","mu_Tax","mu_Sound","mu_Smell","mu_Colour","mu_Deadwood","sig_Tax","sig_Sound","sig_Smell","sig_Colour","sig_Deadwood","mu_Sound2","mu_Smell2","mu_Colour2","mu_Deadwood2","sig_Sound2","sig_Smell2","sig_Colour2","sig_Deadwood2","logLike"
0,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-19947.3307435342
0,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-19947.3307435342
0,0,-1.19683805054125,-4.91740029892533,-0.0258708953925159,-0.0237647728992223,-0.0206294595643578,-0.0196042884957032,-0.00301162854613463,-3.17015742018149e-05,-9.53904244804803e-05,1.01445117563031e-05,-6.98118599906524e-06,-0.0249481862015973,-0.0223926699744385,-0.0214388879722982,-0.0343636787687827,6.86687542864157e-05,-6.15730406680316e-05,3.13829690696691e-06,6.01573983924276e-05,-17450.284048726
0,0,0.287413983729521,-6.24235075017661,-0.0448334131788466,-0.0381290030879232,-0.0346428835569501,-0.0323624220595321,-0.0111697241588679,-9.05598910457568e-05,-0.00020460819577441,3.22607801013694e-05,-1.70089620693418e-05,-0.0471771022540142,-0.0401413510925105,-0.037286809828594,-0.0662855009639143,0.000160652880654483,-0.00014412944155744,4.46364496478493e-05,0.000122386490682923,-17279.0047535982
0,0,-0.549243512423248,-5.23661438091976,-0.796161212164782,0.499632839701043,-0.458602898529157,-0.203489389656114,-2.60438308584041,-0.0163196689180213,-0.0200371991059517,0.00655198165263841,-0.00233058403367994,-2.78835751059852,-1.58080842888353,-0.998279177110466,-3.85313452834227,0.0204199860392544,-0.0181379957164548,0.016366287879194,0.00946402063520237,-14774.953582211
0,0,-0.760353249059722,-5.0024080235649,-0.819899980285074,0.76223018227698,-0.476073401238786,0.0458269195924069,-3.6928284449757,-0.0195323212364426,-0.0254776855431713,0.00688413519949315,-0.00868679496000913,-3.04188341666374,-1.65826881303783,-1.02245142099559,-4.7609496189804,0.0413406090484668,-0.0293577619999738,0.024343063852309,0.0125460069410984,-14592.1691425739
0,0,-2.08273422068233,-3.68979242759753,-0.215940271501931,2.67367442726494,-0.916701277879029,3.26176698773747,-2.10667232766896,-0.151148238749929,-0.0301582665801029,0.00977999694424401,-0.184697633649346,-0.837605815162746,1.00147955525199,0.829730453458264,-9.58300281334345,0.484729904247177,-0.0833331869857127,-0.0342926646812238,0.0063124222868743,-13481.3986431995
0,0,-2.20882404198412,-3.57372310490206,-0.504455050140949,2.62594744353947,-1.20589915824595,3.05121561666936,-2.12357390459944,-0.187997547013923,-0.0248343533203174,0.0114984289923598,-0.222634703303006,-0.856832068766245,1.65357865805073,1.62158406308858,-9.08267214403188,0.537003663904971,-0.063966420204899,-0.0426206574713984,0.00363239389432146,-13300.9479057858
0,0,-2.21739124939916,-3.55960202035169,-1.16564856542034,2.37928089994512,-0.814402288429361,2.46395602675516,-2.21411041896481,-0.296336810741007,0.0190864790178585,-0.0109732807054086,-0.34849920206774,-0.0688030551624516,1.42221461546721,1.70152957598174,-9.09087970685114,0.736003739608833,-0.139913635410916,-0.095343250381455,-0.00772544276811643,-13257.8225257396
0,0,-2.1678862298298,-3.66539934938931,-0.260697617722453,0.21340870876731,4.77287243509806,-0.814842634813449,-2.55807130174633,-0.412970311979089,0.499495430158659,-0.285816341679895,-1.26433348351873,1.59738022399741,0.925220065588128,1.71003340125353,-7.84826769701906,5.26638887373704,-0.458197742549973,-0.482650307060938,-0.208354625176444,-13162.321239991
