beta_Tax.ID,beta_Tax.post.mean,beta_Tax.post.sd,b_Smell.ID,b_Smell.post.mean,b_Smell.post.sd,b_Sound.ID,b_Sound.post.mean,b_Sound.post.sd,b_Colour.ID,b_Colour.post.mean,b_Colour.post.sd,b_Deadwood.ID,b_Deadwood.post.mean,b_Deadwood.post.sd,b_Smell2.ID,b_Smell2.post.mean,b_Smell2.post.sd,b_Sound2.ID,b_Sound2.post.mean,b_Sound2.post.sd,b_Colour2.ID,b_Colour2.post.mean,b_Colour2.post.sd,b_Deadwood2.ID,b_Deadwood2.post.mean,b_Deadwood2.post.sd
25,-0.00644879318809513,0.00894452934781521,25,-0.402726605578675,1.08806683881131,25,-1.56853901325206,0.583795936811834,25,3.85212375039215,0.433292505462133,25,1.51810691774514,1.57214607199868,25,3.45184654358422,1.11917243412873,25,2.61453227318983,4.58006536068826,25,6.0012382192724,6.16254135587555,25,-4.60991331686001,4.40493412996269
26,-0.0244951804651801,0.0235265223844525,26,-0.411662885600099,1.10015330060908,26,-1.55144377163115,0.594912678830711,26,3.83190821256784,0.405551496156447,26,1.50323539424359,1.49124213327522,26,3.41988223407916,1.13419903616205,26,2.35057302602412,4.49316213634903,26,7.76018786399209,5.8295247774898,26,-4.51254231507428,4.06064508506647
28,-0.0470429232782352,0.0317948797893382,28,-0.348343669995514,1.06432863813086,28,-1.573358385284,0.550966170066855,28,3.84149194919873,0.438695341741007,28,1.48840303170309,1.50903120877785,28,3.54897423185173,1.17447304562186,28,3.81886500279601,4.44480548042855,28,8.49611060548715,5.57114787380213,28,-3.8030288257831,4.15472997491129
29,-0.00908662823996407,0.0121768443263946,29,-0.473744960341997,1.03942749925807,29,-1.57503846223568,0.605016764742307,29,3.85784782990648,0.408996851424851,29,1.47830975539122,1.49498894065609,29,3.37761866895211,1.14323253393055,29,2.4028308545614,4.42673336588364,29,6.16319630570373,5.96523671801897,29,-4.6639661218916,4.10672849972417
30,-0.00378824574136904,0.00551905836997834,30,-0.458652668134324,1.08654009346121,30,-1.55965184868887,0.587517531605598,30,3.83209838777134,0.417479098581813,30,1.55443337219991,1.487073162154,30,3.45386037600342,1.13738723492437,30,2.71548290571909,4.37897147826017,30,6.50247081600885,5.88183427572288,30,-4.38051771331417,4.26404890804448
31,-0.0246476106986168,0.023582193020981,31,-0.449397516496435,1.07092389734331,31,-1.54932571546122,0.559019546216768,31,3.8392977750864,0.414720077719743,31,1.5877327942798,1.57251364552746,31,3.45400460185442,1.09691979594673,31,3.25807370651153,4.54712607631604,31,7.65471365080231,5.47233812366358,31,-5.62937027348037,4.37623409259563
32,-68.6633680330886,471.44416361208,32,-0.582307901785686,1.02076966966163,32,-1.53471579274498,0.617361056719776,32,3.91663039759842,0.409673896535071,32,1.35332703088179,1.48580768707602,32,3.5504580889676,1.000660708991,32,2.99173690394894,3.96397459641806,32,8.33073578034536,4.93499003618974,32,-3.95232375437698,4.05224908438154
33,-0.0131132786413278,0.015837431232492,33,-0.477736165510981,1.12254629872713,33,-1.58777357474187,0.559796418983951,33,3.86883197696699,0.411401432360394,33,1.57360541759139,1.48660260555606,33,3.53321826034973,1.13138934873737,33,1.81803060848585,4.5026630300705,33,6.37841959922769,5.63295097586672,33,-4.08745431577559,4.38735419232132
34,-0.0336138812717968,0.0303126148582022,34,-0.442814061527195,1.11396762113346,34,-1.59530788729897,0.555074994883218,34,3.82691745723289,0.41415510510396,34,1.58108972152903,1.51946587834597,34,3.43947254831704,1.11595223198002,34,3.02484559496324,4.52452013797739,34,7.52787996852766,5.22052662272341,34,-5.00557094526027,4.1911595825678
35,-0.0345548576065577,0.0302565889530238,35,-0.443719760524677,1.07923375191958,35,-1.5544866172386,0.565423782867807,35,3.84645796182904,0.417854497990761,35,1.51838248240608,1.56867411347579,35,3.49402534583678,1.07443973551404,35,2.81287541368458,4.29054839683423,35,7.4530207863661,5.58164894436479,35,-5.5786405030975,4.40669005709757
36,-9.52013071798962,22.9439431974103,36,-0.507536678940152,1.0530312221732,36,-1.48093604609042,0.600246033260359,36,3.84606210770927,0.415482694402719,36,1.46877684162758,1.49647779075481,36,3.44577914952079,1.00230341953088,36,3.21753364428241,3.39790954493654,36,7.55556738285372,5.24100700288587,36,-4.01673322811293,3.83817533137173
37,-0.00562074346711807,0.00791056717369916,37,-0.428602926636495,1.05055501687058,37,-1.53819841354625,0.582383122315258,37,3.85681205360558,0.416058110392579,37,1.5332023680106,1.58896333893737,37,3.41192319723884,1.11188803433435,37,2.60838506403142,4.90114047019042,37,6.31134821854487,6.18853987950482,37,-4.6805285845475,4.09843617821908
38,-0.0165534038786018,0.0180237998883919,38,-0.468142726867474,1.03128722286601,38,-1.54182651288111,0.584276407026603,38,3.84778160867894,0.426382134212794,38,1.48510553354527,1.52145340543013,38,3.43142625673764,1.10840860310495,38,2.40023858359502,4.52174903202867,38,7.16632384884936,5.96029682353574,38,-4.35384860918346,4.06752790356455
39,-0.126215660930288,0.0517905199933771,39,-0.497223013689168,1.02103343108066,39,-1.53826260551137,0.526018161591122,39,3.89820471445938,0.35103115006991,39,1.48790553144812,1.63035777301537,39,3.3397512048073,1.08092766427589,39,3.62365292838602,4.0182690970517,39,10.5947608841787,5.05483759222748,39,-3.67801445433145,3.88125766000313
40,-0.425526900126671,0.142172554498088,40,-0.336386748704605,0.846673986506055,40,-1.68734411467138,0.630642823473853,40,3.79606781043599,0.411676627405762,40,0.930067550574591,1.25847490722369,40,3.9102645313512,0.962977097080453,40,-1.20728107549127,3.78910722304727,40,11.3404644438745,6.01923082904382,40,-2.1934579929016,3.55204337199634
42,-0.0129435213417858,0.0150167499579653,42,-0.515904686450507,1.07785603690109,42,-1.57075475201563,0.564877027572185,42,3.88748481814656,0.426645824419743,42,1.67161129903687,1.56000476815633,42,3.35349751614883,1.06051836462506,42,2.45289690350618,4.50194865154553,42,7.21711322455736,5.98108423780691,42,-4.85339450919117,4.35514775663371
43,-29.3971649793839,187.674915811415,43,-0.423921080411314,1.13061454840284,43,-1.44227632612723,0.618744724568633,43,3.91576399147358,0.451045036865794,43,1.74147831627802,1.36307389710506,43,3.62744902718693,0.967815351919712,43,3.36155915728549,4.08756789777336,43,8.67248451072568,4.88146606575516,43,-3.88603660336474,3.99752135191388
44,-0.00354336322729247,0.00523562567514393,44,-0.491883238943519,1.08808021235351,44,-1.50021807518526,0.556441338661907,44,3.86828032515891,0.41002195899179,44,1.56930435731081,1.45817536901473,44,3.46472323405905,1.08562506565771,44,2.7124457194734,4.45666354010933,44,7.06866294533334,6.04051722423959,44,-4.55657300257643,4.14382503974833
45,-0.00727857581017579,0.00946822551254434,45,-0.529517499392817,1.0250349451139,45,-1.56988476442689,0.610745149229462,45,3.86040020878837,0.424839727129576,45,1.53198506205092,1.51115398292347,45,3.36456833257847,1.08404982321031,45,2.63534266302573,4.47984669415158,45,7.2290549381612,6.09982737329177,45,-4.5502343156096,4.35973892672059
46,-0.00713595173762224,0.00982036758401064,46,-0.514389697117241,1.10411129517954,46,-1.5047238520518,0.559614244703613,46,3.89384184299309,0.405973129156711,46,1.63744677531042,1.56312971785771,46,3.45694853852206,1.09423901655072,46,2.19084997739006,4.77746783333663,46,6.30139838515704,6.08961857474339,46,-4.30613086797983,4.32955430257987
47,-0.331381632437583,0.125906827746981,47,-0.36123004931576,1.03646885000402,47,-1.38223402569031,0.591788111571193,47,3.86455164653291,0.451267641380178,47,1.76171889198678,1.44186801866574,47,3.51762248737625,1.05912612656578,47,1.53980736432248,3.80819834210124,47,10.1965267946671,4.99606017465959,47,-2.33428207197463,3.56141745726532
48,-0.076985483255697,0.0435347788977296,48,-0.454331592699022,1.07184018309696,48,-1.53506346085889,0.571538771430418,48,3.7496011131162,0.45393845926976,48,1.68915669655757,1.55330263016509,48,3.42468206868557,1.11395463747336,48,3.87998064119086,4.51562464009706,48,8.46817382704088,5.54972315553476,48,-5.65961468078774,4.25122638085655
49,-0.0057036085618435,0.00801819450325835,49,-0.44105910222076,1.04414055157821,49,-1.52820340071907,0.588710157573585,49,3.83778971471511,0.424114900784352,49,1.60967477041121,1.60142533772265,49,3.55569263309382,1.07553067385976,49,2.72646788091289,4.53978583309454,49,7.27292604603498,5.69193788229898,49,-4.62768306788767,4.13443474104358
50,-0.0380047848482528,0.0315516221880951,50,-0.534700158264289,1.07697504389701,50,-1.51239666372119,0.580017627461629,50,3.89032859572644,0.416782075379583,50,1.66848077972112,1.53645205226632,50,3.55175713332425,1.05707538977839,50,2.81751692896356,4.58159778038084,50,6.90066010676494,5.92493278648773,50,-5.70934576630078,4.66831604552747
51,-0.0368371093660182,0.0297906814515634,51,-0.414043374159119,1.09844764904238,51,-1.5856365213574,0.606202610397018,51,3.78719081777175,0.428698691996118,51,1.55590521972803,1.53325965669741,51,3.46044176344493,1.07107174417211,51,2.8751777268299,4.47297795465728,51,7.42489508617557,5.29039922381383,51,-5.70117580840209,4.31967128288601
52,-0.0053424805556719,0.00697341536695989,52,-0.453121488007634,1.04829344770259,52,-1.56328347060952,0.587776773692974,52,3.87811105050121,0.42109519764713,52,1.55321468515701,1.5484005813276,52,3.49010513543937,1.10616007565203,52,2.87812126206069,4.65404033684745,52,7.28869144127702,6.01487779213307,52,-4.77050704758674,4.27182655270193
53,-0.0102209763449306,0.0121434703978805,53,-0.422367952470507,1.07881736860814,53,-1.57011736450701,0.59628385685184,53,3.86974739932238,0.411025106954737,53,1.42374133609591,1.54494664097661,53,3.45452209563825,1.07907701107589,53,3.13890636254912,4.56973678803504,53,7.5604296163314,5.42735575099747,53,-4.3020062302681,4.15794457752708
54,-0.0310872890315976,0.0259489644544514,54,-0.475479280891053,1.10939615633588,54,-1.52297057927717,0.560934722332205,54,3.87149525647012,0.4200661259403,54,1.49086455204495,1.54768051706685,54,3.47847282095886,1.1077939572384,54,3.62055972685589,4.31530677252123,54,9.26435115843434,6.14175301848985,54,-4.88008430438214,4.11570512574033
55,-0.00678717863682065,0.00915822392089631,55,-0.502479958778464,1.07446033844645,55,-1.55603694565704,0.587708607595058,55,3.86176949731522,0.42892249184751,55,1.57585420339408,1.4962926375505,55,3.45400628295809,1.18373431038615,55,2.49026533291982,4.45449370466444,55,6.59117458596457,5.92996269071418,55,-5.28279773192226,4.00285198169254
56,-0.039604465368819,0.0307732656888314,56,-0.551264710939726,1.07514026007035,56,-1.51473999509499,0.551123167103926,56,3.86716643099113,0.422388214288312,56,1.42106853220865,1.47673607186353,56,3.44410923944659,1.1087095776345,56,3.49688369030019,4.45046909072894,56,7.7994944534614,5.39611965287299,56,-5.04443380700985,4.3068087977383
57,-0.0406478044328311,0.0320786311254171,57,-0.415722582545101,1.05968005554279,57,-1.53975453513531,0.568295113670386,57,3.84515895962904,0.441297973084163,57,1.65330169617666,1.71027448722446,57,3.57642533376836,1.03818524349736,57,2.90515039279942,4.43840754689196,57,6.55880259298626,5.41546562484086,57,-5.17714400031317,4.24386496108121
58,-10.8713922853591,23.9203356883513,58,-0.42172416876238,1.0962659204164,58,-1.50147565430693,0.587741811385296,58,3.902495009715,0.425202770372632,58,1.38858258293251,1.5528834945997,58,3.48987044931564,1.19759656981102,58,3.28601423768373,3.57518630077001,58,7.5982225531697,5.51538922987654,58,-4.07367807924789,3.47563431159669
60,-0.131120206221884,0.0766200819973589,60,-0.146046643034807,1.16220427270448,60,-1.41978806170282,0.750245666334693,60,3.90733569309699,0.391808855096559,60,1.67469929546699,1.37676250922702,60,4.10527262535073,1.20725392292832,60,-0.255257702989167,4.05271350283161,60,3.41373384606214,5.42426647632156,60,-5.41058700228239,4.16385723739028
61,-0.00275033625383334,0.00401471902210772,61,-0.506633654563558,1.0884905970947,61,-1.5413019608344,0.55002379410725,61,3.87727093702558,0.427396464220236,61,1.44190628265113,1.62090893490965,61,3.49373574662742,1.09076641327495,61,2.27848621483079,4.45664065731511,61,7.07779419799366,5.64625555189372,61,-4.51398288422116,4.27367805247507
62,-12.6744537703257,56.2691507078027,62,-0.417497169464127,0.981311659354368,62,-1.50316857291686,0.549860819736673,62,3.83139890663889,0.363455836642058,62,1.64538280652585,1.45769421117256,62,3.58500414903757,1.02965869273182,62,3.56426732638292,4.00061842681732,62,7.43928647687025,5.69262365785536,62,-4.53266307763825,3.9984119275707
63,-13.215438184493,39.9022097339979,63,-0.466690590874052,1.02092084151979,63,-1.49415966162321,0.570215716607055,63,3.82571652931372,0.421084704612091,63,1.5422728958112,1.53144636590704,63,3.71901897733006,0.972275496499332,63,3.33936404553256,4.17395376764483,63,8.39479910546499,5.34882190312137,63,-3.63736106505342,4.49855139160271
65,-0.00272525834415638,0.00373791640527339,65,-0.468865140026053,1.09919204929183,65,-1.5411915005123,0.62417761445535,65,3.85607327866966,0.405894337707436,65,1.56092566808263,1.4915092534468,65,3.53115933652969,1.0626710688703,65,2.25656812433656,4.9235562659431,65,7.34212082666141,5.70169230819865,65,-4.9717111357909,4.49066523794843
66,-0.0336069662781967,0.0276072982992768,66,-0.462523821872794,1.17180777366435,66,-1.56048517275639,0.592116707212673,66,3.87343819042839,0.413675167299625,66,1.42571090721604,1.54064003032952,66,3.60513108196966,1.13972332485403,66,4.43939594069795,4.54465515604038,66,7.12748730065659,5.59936899125796,66,-4.96104175438891,4.20077190375479
67,-0.00574737797564584,0.00801895694860396,67,-0.435938605904109,1.06922810831805,67,-1.55175292180665,0.598070752717383,67,3.8579155515413,0.419779213854888,67,1.39843619572512,1.53342874324965,67,3.47992842247287,1.03976174769155,67,2.86264622693116,4.62287418252272,67,6.8219069143486,5.66829791037513,67,-4.46399549042993,4.28275171469929
68,-0.0196898705326239,0.0214493753620219,68,-0.542488893119943,1.05418247812693,68,-1.54816511754061,0.593221824669609,68,3.87090521927684,0.422468638965117,68,1.5051368934551,1.63266867646014,68,3.47009130165908,1.14182624481938,68,3.19952732648235,4.64266138535414,68,6.72076247139807,5.59261489109133,68,-5.27338533972118,4.05028275923981
69,-0.0583556339747404,0.0357326351311181,69,-0.446197088998002,1.00340248505049,69,-1.54793117934677,0.560570529173519,69,3.87351375333663,0.400570684362667,69,1.6343656714732,1.58587157514203,69,3.43035475987814,0.971425719243318,69,3.75548746911743,4.20300812645944,69,8.44156496612309,5.38950924073397,69,-5.07090591326253,3.87173383300751
72,-0.0351312406922052,0.0305417907785783,72,-0.510784543781559,1.04465770715552,72,-1.55735687544636,0.585342491102106,72,3.83664849478137,0.42498662987431,72,1.54827119350405,1.49899047237901,72,3.40069894611215,1.10333612581337,72,2.65214255302927,4.42186477354383,72,7.19306921978605,5.75038519722812,72,-5.70360481456787,4.39404788684787
73,-0.0138090742812319,0.0171232320553778,73,-0.386038591750904,1.11818234275969,73,-1.54205685006263,0.555104168253688,73,3.82886910482322,0.427715103190192,73,1.55551779477214,1.49359738390396,73,3.45194932604155,1.12155472808009,73,1.57024210808801,4.63183852916349,73,6.16340635210756,6.05285268867624,73,-4.60829985281374,4.30790633516776
74,-0.00546468422942198,0.00758730935985516,74,-0.435146712236979,1.04549098885766,74,-1.4936953848721,0.584898824815356,74,3.85303882652692,0.427888027512413,74,1.4457646870288,1.50949999874541,74,3.50201159043175,1.10793733006155,74,2.54423487987323,4.6894054967989,74,7.44363341023283,5.88118101268575,74,-4.89285619894013,4.31055986576087
75,-1.17462095956062,0.635443157379925,75,0.163843316513763,1.01234843514354,75,-1.67870865463122,0.44294786954478,75,3.87459694938944,0.448068259400769,75,1.49527409164134,1.1344673892994,75,2.92012604544623,1.01349567416642,75,-2.99738586349207,2.36845381289713,75,10.1400909359212,4.36802388572566,75,-3.42450703772486,3.7689981603139
76,-0.0264522670863791,0.0253868279960327,76,-0.531886450111741,1.01596664920463,76,-1.57008742359195,0.577258924822452,76,3.87471755221466,0.409088863855038,76,1.56960210789805,1.5025541444109,76,3.58946101109888,1.07171396984606,76,3.06903115803779,4.66388818612012,76,6.08778874497222,5.61980724145244,76,-4.85172998013287,4.2874829966843
77,-0.0775965216645614,0.0449295211033024,77,-0.377182003776674,1.06183336465811,77,-1.48880561354386,0.570648190561769,77,3.85197079782137,0.453727423736161,77,1.41733777244069,1.43816726801299,77,3.32483389605114,1.12768824975551,77,2.63113984010806,4.09039806532926,77,9.82434936184491,5.68409639789434,77,-4.85715107151072,4.36655601452517
78,-0.0640886476136916,0.0395352832757415,78,-0.652775064124747,1.12385201513162,78,-1.58025561835487,0.555035091846193,78,3.8731358602771,0.411646919546875,78,1.5935444103516,1.54317931789558,78,3.41596609035897,1.13018227803295,78,3.94025260324364,4.33536925815352,78,8.52984682963062,5.63088012070666,78,-5.75919626152551,4.06474914058479
79,-0.218896490914081,0.0799521357261366,79,-0.027092352828472,1.04164071944751,79,-1.68237235931737,0.596833331299942,79,3.87116914439832,0.479784999726125,79,1.65539417733398,1.4580014946506,79,3.15557952415254,1.05506859732389,79,1.98365081612471,4.84956946028234,79,11.4597896909496,5.06691853657096,79,-5.09505456961741,3.59620778902612
80,-0.0250891244504638,0.0235936053398686,80,-0.488628451290371,1.07199620294809,80,-1.59454600590131,0.535817887988882,80,3.86574797673383,0.425026234797986,80,1.47485876807158,1.49367816931763,80,3.39129810783825,1.14464870603405,80,2.5354116774379,4.39356787301853,80,8.74628290960353,5.87016895894671,80,-4.66739248684481,4.45219138605315
81,-0.129026478625663,0.0513083359829737,81,-0.552077389952754,0.930952688573483,81,-1.52233010875659,0.579300264625788,81,3.80638455147122,0.442518233109181,81,1.24999344028226,1.62219237694747,81,3.70016591495366,0.966998580313204,81,2.80628679960596,4.06238624917617,81,11.7490065313881,5.39275866942112,81,-4.44399697130781,3.50046700246135
82,-0.00712880709841254,0.00982762585738618,82,-0.431258015865131,1.05214719080233,82,-1.56952424848925,0.592296230576971,82,3.86729170665391,0.430117329928788,82,1.44255121407298,1.59723444461682,82,3.45806297291729,1.05524959326204,82,2.1353402448968,4.69869168692192,82,6.95516878689592,6.05587276645245,82,-4.76826107657389,4.12906041724671
83,-0.00222292051404933,0.00321220207451396,83,-0.535612756651134,1.07223685970502,83,-1.5149906000943,0.557709322496318,83,3.83976700334002,0.425402448784496,83,1.6886050681744,1.51520059183822,83,3.5057472157841,1.10769141618438,83,2.90228678674913,4.4924593410317,83,6.73715172543761,6.22764451814515,83,-4.39966661272906,4.21787557630727
84,-0.00686031276536533,0.00948153932940573,84,-0.568263373259081,1.08183644201566,84,-1.57618040538014,0.608428792487943,84,3.83431845972654,0.411188702644296,84,1.48214232853288,1.60291104090052,84,3.43999330380292,1.13290416632719,84,2.71935610003469,4.61284140780683,84,6.19430826728012,5.74824309627568,84,-4.70656058745451,4.27240458287844
85,-0.00465924520826141,0.00657488856872347,85,-0.450241065350089,1.10207883486922,85,-1.55659819996812,0.596196197887955,85,3.88889024217462,0.401513776737528,85,1.67629199824251,1.51851620667089,85,3.52355191508393,1.05679721219017,85,2.73406982774384,4.73980020927764,85,7.30852789159725,5.84071389448404,85,-4.30418624707928,4.24711167612943
